Date,Close,High,Low,Open,Volume
,PLD,PLD,PLD,PLD,PLD
2000-01-03,7.620349407196045,7.668427321437029,7.596310450075553,7.668427321437029,36200
2000-01-04,7.500157833099365,7.668430604995825,7.3078460937891245,7.668430604995825,148500
2000-01-05,7.404001712799072,7.404001712799072,7.235728946599093,7.3078458463990845,178700
2000-01-06,7.5482378005981445,7.6203547222599095,7.452081905049123,7.452081905049123,452800
2000-01-07,7.692470550537109,7.692470550537109,7.5963146686553955,7.5963146686553955,290700
2000-01-10,7.7405476570129395,7.764586624891861,7.668430753376173,7.692469721255096,158200
2000-01-11,7.764585494995117,7.812663423756697,7.692468601852748,7.740546530614328,146000
2000-01-12,7.692470550537109,7.788626432418823,7.692470550537109,7.788626432418823,120000
2000-01-13,7.668429851531982,7.76458571173928,7.668429851531983,7.6924688165838075,85400
2000-01-14,7.596311569213867,7.692467411862144,7.596311569213867,7.692467411862144,80500
2000-01-18,7.7165117263793945,7.956901499786853,7.596316839675666,7.644394794357158,548000
2000-01-19,7.764585494995117,7.812663423756697,7.716507566233537,7.740546530614328,77100
2000-01-20,7.812663555145264,7.812663555145265,7.740546660790077,7.788624590360202,271000
2000-01-21,7.860743522644043,7.884782493661303,7.812665580609523,7.8367045516267835,95000
2000-01-24,7.836704730987549,7.884782674122441,7.836704730987549,7.884782674122441,34600
2000-01-25,7.860743522644043,7.908821464678564,7.8367045516267835,7.8367045516267835,100400
2000-01-26,7.884782314300537,7.908821284770966,7.860743343830109,7.884782314300537,151100
2000-01-27,7.9088239669799805,7.932862945603021,7.884784988356942,7.884784988356942,59100
2000-01-28,7.884782314300537,7.932860255241394,7.860743343830109,7.932860255241394,118700
2000-01-31,7.860743522644043,7.884782493661303,7.860743522644043,7.884782493661303,94800
2000-02-01,7.9088239669799805,7.932862945603021,7.860746009733902,7.884784988356942,366600
2000-02-02,7.884782314300537,7.932860255241394,7.884782314300537,7.932860255241394,238200
2000-02-03,7.9088239669799805,7.932862945603021,7.884784988356942,7.908823966979981,380400
2000-02-04,7.884782314300537,7.908821284770966,7.860743343830109,7.908821284770966,101300
2000-02-07,7.9088239669799805,7.932862945603021,7.836707031110863,7.836707031110863,230300
2000-02-08,7.860743522644043,7.908821464678564,7.8367045516267835,7.884782493661303,88000
2000-02-09,7.860743522644043,7.956899406713084,7.788626609592263,7.8367045516267835,143500
2000-02-10,7.860743522644043,7.908821464678564,7.8367045516267835,7.860743522644043,93300
2000-02-11,7.7165117263793945,7.956901499786853,7.7165117263793945,7.884784567764616,43200
2000-02-14,7.812663555145264,7.836702519930326,7.692468731219952,7.7165076960050145,153200
2000-02-15,7.932857513427734,7.932857513427734,7.836701664780125,7.908818551265832,144800
2000-02-16,7.932857513427734,7.9568964755896365,7.88477958910393,7.932857513427734,117900
2000-02-17,7.9088239669799805,7.908823966979981,7.860746009733902,7.884784988356942,102100
2000-02-18,7.884782314300537,7.908821284770966,7.812665402889252,7.908821284770966,79300
2000-02-22,7.9088239669799805,7.908823966979981,7.788629073864784,7.788629073864784,195500
2000-02-23,7.884782314300537,7.932860255241394,7.860743343830109,7.932860255241394,103200
2000-02-24,7.860743522644043,7.884782493661303,7.764587638575003,7.884782493661303,235900
2000-02-25,7.788628578186035,7.788628578186035,7.7405506239997015,7.788628578186035,43400
2000-02-28,7.7405476570129395,7.788625592770784,7.692469721255096,7.7405476570129395,135400
2000-02-29,7.764585494995117,7.788624459375907,7.692468601852748,7.764585494995117,172000
2000-03-01,7.764585494995117,7.788624459375907,7.716507566233537,7.788624459375907,169500
2000-03-02,7.7405476570129395,7.788625592770784,7.7165086891340176,7.788625592770784,73300
2000-03-03,7.7165117263793945,7.764589681060887,7.7165117263793945,7.764589681060887,103400
2000-03-06,7.764585494995117,7.764585494995117,7.668429637471958,7.692468601852748,106600
2000-03-07,7.764585494995117,7.764585494995117,7.716507566233537,7.716507566233537,170700
2000-03-08,7.788628578186035,7.812667555279202,7.7405506239997015,7.7405506239997015,263200
2000-03-09,7.764585494995117,7.836702388137486,7.716507566233537,7.836702388137486,184000
2000-03-10,7.764585494995117,7.788624459375907,7.692468601852748,7.788624459375907,201000
2000-03-13,7.764585494995117,7.788624459375907,7.716507566233537,7.740546530614328,681900
2000-03-14,7.836704730987549,7.836704730987549,7.764587816285209,7.788626787852656,156800
2000-03-15,7.980935573577881,7.980935573577881,7.836701798151775,7.860740760722792,372100
2000-03-16,8.053051948547363,8.053051948547363,7.980935065426044,7.980935065426044,337100
2000-03-17,8.053051948547363,8.101129870628244,8.029012987506924,8.053051948547363,333000
2000-03-20,8.077095031738281,8.12517297835577,8.053056058429537,8.077095031738281,73400
2000-03-21,8.077095031738281,8.101134005047026,8.029017085120792,8.029017085120792,119400
2000-03-22,8.221325874328613,8.221325874328613,8.077092087059691,8.101131051604511,215100
2000-03-23,8.269407272338867,8.269407272338867,8.19729034845219,8.19729034845219,512700
2000-03-24,8.221325874328613,8.269403803418255,8.197286909783793,8.269403803418255,58700
2000-03-27,8.19728946685791,8.245367410945052,8.149211522770766,8.221328438901482,66100
2000-03-28,8.125166893005371,8.24536166952912,8.077088982395871,8.19728375891962,30100
2000-03-29,8.149208068847656,8.173247030702665,8.077091183282633,8.125169106992649,42800
2000-03-30,8.149208068847656,8.173247030702665,8.125169106992649,8.173247030702665,50400
2000-03-31,8.269407272338867,8.269407272338867,8.07709547530773,8.101134449936623,232900
2000-04-03,8.316364288330078,8.316364288330078,8.218524708467372,8.267444498398724,135700
2000-04-04,8.389748573303223,8.389748573303223,8.31636884817229,8.389748573303223,188500
2000-04-05,8.365285873413086,8.414205673842401,8.365285873413086,8.365285873413086,145000
2000-04-06,8.340826034545898,8.389745835335024,8.291906233756773,8.365285934940461,148500
2000-04-07,8.340826034545898,8.365285934940461,8.316366134151336,8.340826034545898,214300
2000-04-10,8.365285873413086,8.365285873413086,8.316366072983769,8.340825973198427,270000
2000-04-11,8.414210319519043,8.463130146958108,8.291910750921382,8.365290492079978,370300
2000-04-12,8.463129997253418,8.512049823827137,8.36529034410598,8.414210170679699,192300
2000-04-13,8.512048721313477,8.512048721313477,8.41420908083861,8.48758881119476,357300
2000-04-14,8.463129997253418,8.463129997253418,8.34083043081912,8.438670083966558,123100
2000-04-17,8.438668251037598,8.46312815901162,8.414208343063576,8.438668251037598,139000
2000-04-18,8.512048721313477,8.512048721313477,8.438668990957327,8.463128901076043,238500
2000-04-19,8.609889030456543,8.609889030456543,8.512049382383173,8.512049382383173,253500
2000-04-20,8.560964584350586,8.585424483163017,8.512044786725726,8.512044786725726,177400
2000-04-24,8.609889030456543,8.609889030456543,8.536509294401515,8.585429118438201,123200
2000-04-25,8.609889030456543,8.609889030456543,8.560969206419859,8.585429118438201,116300
2000-04-26,8.634346008300781,8.634346008300781,8.585426200888312,8.609886104594546,270900
2000-04-27,8.609889030456543,8.658808854493229,8.46312955834649,8.634348942474887,172400
2000-04-28,8.634346008300781,8.658805912007015,8.585426200888312,8.609886104594546,230300
2000-05-01,8.830025672912598,8.854485577823713,8.634346433623676,8.634346433623676,300700
2000-05-02,8.952323913574219,9.050163519187052,8.830024406558177,8.854484307961386,659500
2000-05-03,8.952323913574219,9.001243716380635,8.92786401217101,8.952323913574219,162600
2000-05-04,8.927864074707031,9.02570368100519,8.903404173132492,8.952323976281571,407500
2000-05-05,8.952323913574219,9.025703617783844,8.92786401217101,9.001243716380635,79400
2000-05-08,8.903403282165527,8.952323080419184,8.878943383038699,8.952323080419184,39300
2000-05-09,9.001248359680176,9.001248359680176,8.903408703596696,8.903408703596696,337300
2000-05-10,8.927864074707031,9.00124377943065,8.927864074707031,9.00124377943065,153200
2000-05-11,8.903403282165527,8.976782979546012,8.878943383038699,8.976782979546012,199700
2000-05-12,8.952323913574219,8.976783814977427,8.805564505154969,8.903404110767802,209600
2000-05-15,8.976783752441406,9.001243653674216,8.927863949975785,8.976783752441406,220800
2000-05-16,8.976783752441406,9.001243653674216,8.952323851208595,8.976783752441406,60900
2000-05-17,8.87894058227539,8.95232025650907,8.854480690864163,8.95232025650907,62000
2000-05-18,8.805566787719727,8.878946510950724,8.805566787719727,8.854486603207057,58400
2000-05-19,8.707725524902344,8.805565137541695,8.60988591226299,8.805565137541695,485500
2000-05-22,8.707725524902344,8.781105234381858,8.60988591226299,8.732185428062182,271400
2000-05-23,8.805566787719727,8.830026695463392,8.609887525770398,8.707727156745063,308700
2000-05-24,8.781107902526855,8.830027723710849,8.756647991934859,8.756647991934859,245400
2000-05-25,8.781107902526855,8.805567813118852,8.683268260158867,8.732188081342862,39100
2000-05-26,8.830025672912598,8.830025672912598,8.781105863090367,8.805565768001482,16300
2000-05-30,8.805566787719727,8.830026695463392,8.78110687997606,8.830026695463392,46300
2000-05-31,8.805566787719727,8.830026695463392,8.78110687997606,8.805566787719727,43800
2000-06-01,8.781107902526855,8.830027723710849,8.756647991934859,8.830027723710849,83400
2000-06-02,8.781107902526855,8.805567813118852,8.756647991934859,8.781107902526855,78200
2000-06-05,8.781107902526855,8.830027723710849,8.756647991934859,8.830027723710849,81100
2000-06-06,8.830025672912598,8.830025672912598,8.781105863090367,8.781105863090367,142600
2000-06-07,8.87894058227539,8.95232025650907,8.854480690864163,8.854480690864163,127600
2000-06-08,8.952323913574219,8.952323913574219,8.903404110767802,8.903404110767802,124100
2000-06-09,8.927864074707031,8.952323976281571,8.927864074707031,8.927864074707031,107900
2000-06-12,8.952323913574219,8.976783814977427,8.903404110767802,8.952323913574219,159700
2000-06-13,9.001248359680176,9.001248359680176,8.952328531638436,8.976788445659306,309000
2000-06-14,9.074618339538574,9.099078227246224,8.97677878870797,9.001238676415621,623700
2000-06-15,9.074618339538574,9.099078227246224,9.025698564123271,9.025698564123271,151200
2000-06-16,9.025702476501465,9.148001968052975,9.001242578191162,9.099082171432372,345300
2000-06-19,9.050164222717285,9.12354393263121,9.025704319412643,9.050164222717285,43900
2000-06-20,9.148001670837402,9.148001670837402,9.074621978290578,9.099081875806187,72200
2000-06-21,9.148001670837402,9.148001670837402,9.099081875806187,9.099081875806187,43600
2000-06-22,9.196929931640625,9.196929931640625,9.07463033148583,9.148010091578707,74300
2000-06-23,9.148001670837402,9.196921465868618,9.074621978290578,9.196921465868618,99900
2000-06-26,9.123542785644531,9.196922486333362,9.123542785644531,9.172462586103752,351500
2000-06-27,9.123542785644531,9.148002685874141,9.099082885414921,9.123542785644531,118500
2000-06-28,9.148001670837402,9.17246156835301,9.099081875806187,9.148001670837402,56100
2000-06-29,9.245840072631836,9.245840072631836,9.148000495143668,9.17246038951571,243600
2000-06-30,9.076125144958496,9.243856410471075,9.069912875865437,9.243856410471075,307100
2000-07-03,9.144457817077637,9.169306887232738,9.020212466302125,9.020212466302125,27800
2000-07-05,9.268702507019043,9.293551575402471,9.144457165101898,9.243853438635613,196900
2000-07-06,9.467499732971191,9.492348813635157,9.26870708765946,9.293556168323427,241300
2000-07-07,9.517194747924805,9.517194747924805,9.442647530578135,9.467496603027024,332200
2000-07-10,9.542045593261719,9.542045593261719,9.492347439130146,9.517196516195932,59600
2000-07-11,9.517194747924805,9.542043820373694,9.442647530578135,9.542043820373694,183800
2000-07-12,9.467499732971191,9.54204697496309,9.442650652307226,9.54204697496309,342300
2000-07-13,9.492348670959473,9.517197751249943,9.467499590669004,9.517197751249943,108400
2000-07-14,9.41779613494873,9.492343333906108,9.343248935991353,9.467494267586982,110100
2000-07-17,9.442647933959961,9.442647933959961,9.343251639918277,9.39294978693912,80600
2000-07-18,9.442647933959961,9.467497007470383,9.39294978693912,9.467497007470383,55800
2000-07-19,9.343256950378418,9.442653300914358,9.343256950378418,9.442653300914358,99700
2000-07-20,9.343256950378418,9.368106038012403,9.318407862744433,9.343256950378418,152900
2000-07-21,9.368101119995117,9.392950194583964,9.144459448695498,9.34325204540627,654200
2000-07-24,9.442647933959961,9.442647933959961,9.39294978693912,9.41779886044954,191100
2000-07-25,9.41779613494873,9.442645201267856,9.41779613494873,9.442645201267856,123000
2000-07-26,9.442647933959961,9.442647933959961,9.343251639918277,9.39294978693912,220300
2000-07-27,9.542045593261719,9.542045593261719,9.442649284998575,9.442649284998575,410800
2000-07-28,9.492348670959473,9.542046831540413,9.442650510378533,9.542046831540413,791800
2000-07-31,9.492348670959473,9.542046831540413,9.467499590669004,9.492348670959473,225600
2000-08-01,9.542045593261719,9.542045593261719,9.492347439130146,9.517196516195932,320800
2000-08-02,9.542045593261719,9.616592824459076,9.517196516195932,9.542045593261719,361100
2000-08-03,9.542045593261719,9.542045593261719,9.492347439130146,9.517196516195932,168200
2000-08-04,9.492348670959473,9.542046831540413,9.442650510378533,9.542046831540413,183100
2000-08-07,9.467499732971191,9.517197894299123,9.442650652307226,9.517197894299123,165600
2000-08-08,9.492348670959473,9.517197751249943,9.442650510378533,9.442650510378533,47900
2000-08-09,9.467499732971191,9.517197894299123,9.442650652307226,9.492348813635157,101700
2000-08-10,9.542045593261719,9.542045593261719,9.492347439130146,9.492347439130146,147300
2000-08-11,9.591745376586914,9.61659445787341,9.517198132727431,9.542047214013925,88100
2000-08-14,9.641443252563477,9.641443252563477,9.566896010919944,9.59174509146779,154100
2000-08-15,9.641443252563477,9.66629233311132,9.59174509146779,9.641443252563477,242000
2000-08-16,9.69113826751709,9.69113826751709,9.591741977593838,9.666289195036278,353600
2000-08-17,9.666289329528809,9.691138402355362,9.641440256702257,9.691138402355362,164100
2000-08-18,9.641443252563477,9.66629233311132,9.616594172015633,9.616594172015633,87000
2000-08-21,9.666289329528809,9.715987475181914,9.641440256702257,9.666289329528809,154900
2000-08-22,9.641443252563477,9.691141413659166,9.641443252563477,9.66629233311132,125500
2000-08-23,9.69113826751709,9.69113826751709,9.666289195036278,9.666289195036278,56800
