Date,Close,High,Low,Open,Volume
,JNJ,JNJ,JNJ,JNJ,JNJ
2000-01-03,23.727489471435547,24.129650309934455,23.566625136035984,23.968785974534892,4642400
2000-01-04,22.858814239501953,23.566617073096662,22.842727811465707,23.454012076842957,7822200
2000-01-05,23.100120544433594,23.373589938065468,22.76230541112363,22.858824020640764,8229600
2000-01-06,23.824010848999023,24.177912428119875,23.196639867830246,23.244899174074,5356400
2000-01-07,24.837453842163086,24.950058879012268,24.09747788572558,24.226169356410367,9863800
2000-01-10,24.210073471069336,24.950049138623616,24.210073471069336,24.885703428401502,4928600
2000-01-11,24.290504455566406,24.435282296692296,23.92051663935579,23.936603066147555,6153000
2000-01-12,24.06529426574707,24.467454931952734,23.984862132505935,24.161812825636428,5163200
2000-01-13,24.03312873840332,24.708758863579316,23.95269658064427,24.177906622369605,4659200
2000-01-14,24.113571166992188,24.290521989431756,23.888361029341826,24.177916920606574,5404800
2000-01-18,23.502275466918945,23.952695530624442,23.437929743532447,23.679226206231817,4870000
2000-01-19,23.582704544067383,23.695309545300994,23.325321684104846,23.421840256590798,5507400
2000-01-20,23.663143157958984,23.75966175683577,23.180550163575045,23.743575323689637,4823400
2000-01-21,23.13227653503418,23.614869230479957,23.067930842308076,23.614869230479957,8538000
2000-01-24,21.539731979370117,23.212720870971676,21.507559116070084,23.196634439321663,11304200
2000-01-25,21.9418888092041,22.376222385339375,21.50755523306883,21.587987376797585,12956800
2000-01-26,21.49146270751953,22.36012961336239,21.378857738243607,22.19926537153964,9491400
2000-01-27,20.719327926635742,21.604081836546428,20.719327926635742,21.555822532369483,12406600
2000-01-28,21.748865127563477,21.925815953305488,20.815851682741968,20.815851682741968,12340000
2000-01-31,22.151010513305664,22.3279612145739,21.314516289128544,21.925800529873364,9055200
2000-02-01,21.829288482666016,22.00623923676279,21.7166834573317,21.990152804572176,6079200
2000-02-02,21.974058151245117,22.215354543828337,21.861453168039613,22.006231003589544,5791600
2000-02-03,21.443212509155273,21.87754614587485,21.073224596394155,21.87754614587485,10237200
2000-02-04,21.137571334838867,21.523645697119026,21.0571391760305,21.39495424302564,6906000
