serie1,serie2,best_pearson,best_spearman,best_kendall,lag_pearson,lag_spearman,lag_kendall
GC=F.PctChange,SI=F.PctChange,0.7766873033820872,0.7653840948982258,0.5784080568127287,0,0,0
GC=F.PctChange,CL=F.PctChange,0.11650973054887717,0.1142005497868758,0.07810281257006274,0,0,0
GC=F.PctChange,BZ=F.PctChange,0.11760641733369472,0.10717811022991959,0.07306365244429565,0,0,0
GC=F.PctChange,NG=F.PctChange,-0.06958245329912838,0.07816682858608502,0.052438437468441075,70,-170,-170
GC=F.PctChange,HG=F.PctChange,0.26016910710086755,0.24837518227305416,0.17023097873373536,0,0,0
GC=F.PctChange,ZW=F.PctChange,0.07120751906506444,0.07692028650092204,0.051564639126934264,0,0,0
GC=F.PctChange,ZC=F.PctChange,0.061437160121780854,0.07277899971459618,0.0482572468393103,0,112,112
GC=F.PctChange,ZS=F.PctChange,0.07702405517712796,0.061771523289160996,0.04148869192700964,0,146,146
GC=F.PctChange,^GSPC.PctChange,-0.06979090309686953,-0.055919708096744576,0.0374367795028838,153,-90,-90
GC=F.PctChange,^IXIC.PctChange,-0.05825608416187956,0.05802924024705229,0.03901297081884764,-86,117,117
GC=F.PctChange,^DJI.PctChange,-0.07245183849596455,-0.058321275485086435,0.039006905573786554,153,-90,-90
GC=F.PctChange,^RUT.PctChange,-0.06859458861001122,-0.05152642980327444,0.03503853987016434,-86,41,41
GC=F.PctChange,^N225.PctChange,-0.0629455575446248,-0.07581228471975908,0.05146230057303616,42,1,1
GC=F.PctChange,^FTSE.PctChange,-0.06502021132449633,-0.06983479491823376,0.046577319066223595,41,-180,-180
GC=F.PctChange,^GDAXI.PctChange,0.0629085880869836,-0.06679807570808549,0.04589394844637866,2,0,0
GC=F.PctChange,^STOXX50E.PctChange,0.05745629795620231,-0.07201658034360488,0.04938661376196589,2,0,0
GC=F.PctChange,^HSI.PctChange,0.05726407550907463,0.06214926208326466,0.041520834755308426,40,40,40
GC=F.PctChange,^BVSP.PctChange,-0.08299754509111085,0.0764048376940315,0.05047170196644515,7,-97,-97
GC=F.PctChange,DX-Y.NYB.PctChange,-0.39403233797765114,-0.4150123838061958,0.28852073807771866,0,0,0
GC=F.PctChange,^VIX.PctChange,-0.057261875146288756,-0.056781741661099096,0.0377097512555273,-93,-93,-93
GC=F.PctChange,^DJT.PctChange,-0.06543677011115866,-0.07261654116283087,0.049673203377587793,153,0,0
GC=F.PctChange,^IRX.PctChange,-0.06011411640718634,-0.10141508256468942,0.06957884059951137,131,0,0
GC=F.PctChange,^FVX.PctChange,-0.2557830251988862,-0.3195193548324541,0.222308248575415,0,0,0
GC=F.PctChange,^TNX.PctChange,-0.23781046208449957,-0.3009254285325438,0.20874075590928787,0,0,0
GC=F.PctChange,^TYX.PctChange,-0.21571899793006816,-0.2482163119130819,0.17095121185015516,0,0,0
GC=F.PctChange,AAPL.PctChange,-0.05770548486110181,0.06100961373951617,0.04121671653729561,-101,-71,-71
GC=F.PctChange,MSFT.PctChange,-0.05984788689693968,0.060372589473862495,0.040586769751676736,153,-47,-47
GC=F.PctChange,GOOGL.PctChange,-0.05731698325318055,0.05257027798909643,0.03486170055552298,-84,46,117
GC=F.PctChange,META.PctChange,-0.0793692771836795,-0.053569253303890625,0.03626459904568781,-86,151,151
GC=F.PctChange,NVDA.PctChange,-0.052314003663403504,-0.05532410397705745,0.03729637657359002,-17,-90,-90
GC=F.PctChange,AVGO.PctChange,-0.06057579803986689,0.05656720693525261,0.037462480108487926,-31,106,106
GC=F.PctChange,ORCL.PctChange,0.06289535633825825,0.0715274338322555,0.04818470688898164,174,174,174
GC=F.PctChange,CRM.PctChange,-0.06601539904012053,-0.060810305562613715,0.04068872028146733,-169,-148,-148
GC=F.PctChange,JPM.PctChange,-0.09530376281782627,-0.10834755870422988,0.07477323087467008,0,0,0
GC=F.PctChange,BAC.PctChange,-0.11305258105754334,-0.11958334630435227,0.082339816774827,0,0,0
GC=F.PctChange,WFC.PctChange,-0.06931022615166174,-0.10949296044112798,0.07541452830192999,0,0,0
GC=F.PctChange,GS.PctChange,-0.08474307377476364,-0.07981779914888945,0.055182480988465704,-3,0,0
GC=F.PctChange,MS.PctChange,-0.07273546612418977,-0.08737659559351571,0.060546185547818765,-86,0,0
GC=F.PctChange,V.PctChange,-0.06339264452133768,0.05577398032581423,0.03745748556796498,153,-28,-28
GC=F.PctChange,MA.PctChange,-0.06747360926195191,0.05389850862698761,0.0362078151832051,-3,116,116
GC=F.PctChange,AXP.PctChange,-0.07457592349379967,-0.07137276699913134,0.04779859544032834,-3,41,41
GC=F.PctChange,UNH.PctChange,-0.06750550587466554,-0.06876357302371243,0.045759396810729186,-3,57,57
GC=F.PctChange,JNJ.PctChange,-0.07304566624673939,-0.0716939414935755,0.047626712427805765,153,153,153
